
2026-09-03T13:34:05.396Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T13:34:05.398Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T13:34:05.399Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T13:46:30.090Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:32.121Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:34.150Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:36.183Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:38.213Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:40.243Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:42.275Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:44.312Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:46.341Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:48.371Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:50.403Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:52.432Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:54.469Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:56.499Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:46:58.528Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:00.558Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:00.903Z [INFO ] gateway: POST /v1/pairing/create from 127.0.0.1 -> 201
2026-09-03T13:47:01.141Z [INFO ] gateway: POST /v1/pairing/claim from 127.0.0.1 -> 200
2026-09-03T13:47:01.147Z [INFO ] gateway: POST /v1/sessions/109/reply from 127.0.0.1 -> 403
2026-09-03T13:47:02.591Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:04.629Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:06.661Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:08.689Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:10.721Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:47:12.750Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:13.086Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:15.127Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:17.156Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:19.185Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:21.214Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:23.243Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:25.278Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:27.307Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:29.336Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:31.367Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:33.397Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:39.413Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:41.440Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:43.470Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:45.501Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:47.529Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:49.569Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:51.598Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:53.627Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:55.655Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:57.685Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:49:59.721Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
