

DevTools listening on ws://127.0.0.1:9222/devtools/browser/843c0f49-ea5b-4a33-938c-b1387bfafbfa
2026-09-03T17:23:20.012Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T17:23:20.014Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T17:23:20.015Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T17:29:52.370Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:54.400Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:56.430Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:29:58.460Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:00.488Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:02.518Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:04.545Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:06.573Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:08.603Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:10.632Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:12.661Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:14.690Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:16.725Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:18.752Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:20.781Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:22.799Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:24.828Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:26.856Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:28.934Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:30.963Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:32.991Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:35.018Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:37.049Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:39.076Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:41.102Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:43.129Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:45.161Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:47.195Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:49.223Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:51.251Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:53.280Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:55.307Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:57.334Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:30:59.361Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:01.389Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:03.416Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:05.445Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:07.475Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:09.504Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:11.532Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:13.560Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:15.588Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:17.623Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:19.653Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:21.682Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:23.700Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:25.728Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:31:26.882Z [INFO ] gateway: GET /v1/sessions/337/messages from 127.0.0.1 -> 200
2026-09-03T17:31:26.884Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:29.894Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:32.901Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:35.909Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:38.916Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:41.924Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:44.930Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:47.936Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:50.943Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:53.949Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:56.955Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:31:59.962Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:02.968Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:05.974Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:08.981Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:11.990Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:14.996Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:18.003Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:21.009Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:24.002Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:27.009Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:30.015Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:33.022Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:36.029Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:39.034Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
2026-09-03T17:32:42.039Z [INFO ] gateway: GET /v1/sessions/337 from 127.0.0.1 -> 200
